Release_ID,Market,Release Date,Opening,Gross
gr1940607493,Romania,"Sep 4, 2009",–,"$442,824"
gr1940607493,Serbia and Montenegro,"Sep 10, 2009","$17,394","$126,236"
gr1940607493,Slovakia,"Sep 17, 2009","$37,238","$213,992"
gr1940607493,Slovenia,"Sep 3, 2009","$70,976","$300,486"
gr1940607493,South Africa,"Oct 9, 2009","$286,408","$1,351,415"
gr1940607493,Spain,"Oct 16, 2009","$2,699,887","$7,800,185"
gr1940607493,Sweden,"Sep 11, 2009","$270,347","$1,207,855"
gr1940607493,Switzerland (German),"Oct 22, 2009",–,–
gr1940607493,Switzerland (Italian),"Nov 20, 2009",–,–
gr1940607493,Turkey,"Sep 25, 2009","$258,317","$954,399"
gr1940607493,Ukraine,"Sep 14, 2009","$247,988","$877,094"
gr1940607493,United Arab Emirates,"Sep 24, 2009","$207,397","$479,069"
gr3958133253,Australia,"May 13, 2010","$4,977,878","$15,615,874"
gr3958133253,Hong Kong,"May 14, 2010","$344,014","$800,948"
gr3958133253,Indonesia,"May 12, 2010","$606,294","$1,880,555"
gr3958133253,Japan,"Dec 10, 2010","$1,536,326","$7,147,077"
gr3958133253,Malaysia,"May 13, 2010","$593,309","$1,363,204"
gr3958133253,New Zealand,"May 13, 2010","$459,010","$1,596,082"
gr3958133253,Philippines,"May 14, 2010","$400,092","$1,286,021"
gr3958133253,Russia/CIS,"May 12, 2010","$5,524,213","$11,864,921"
gr3958133253,Singapore,"May 13, 2010","$613,728","$1,178,210"
gr3958133253,South Korea,"May 13, 2010","$3,131,329","$9,306,757"
gr3958133253,Taiwan,"May 15, 2010","$191,837","$638,296"
gr3958133253,Thailand,"May 13, 2010","$299,779","$736,640"
gr3958133253,Argentina,"May 13, 2010","$731,564","$2,992,530"
gr3958133253,Bolivia,"May 20, 2010","$46,872","$146,020"
gr3958133253,Brazil,"May 14, 2010","$2,408,757","$7,953,519"
gr3958133253,Chile,"Jun 10, 2010","$221,365","$817,992"
gr3958133253,Colombia,"May 14, 2010","$366,357","$1,329,717"
gr3958133253,Ecuador,"Jun 25, 2010","$83,041","$306,458"
gr3958133253,Mexico,"May 14, 2010","$2,961,347","$8,845,552"
gr3958133253,Peru,"May 13, 2010","$336,237","$995,267"
gr3958133253,Uruguay,"May 14, 2010","$31,513","$146,337"
gr3958133253,Venezuela,"Jun 4, 2010","$272,388","$1,466,773"
gr3958133253,Austria,"May 13, 2010","$880,004","$2,694,322"
gr3958133253,Belgium,"May 12, 2010","$1,303,678","$3,207,998"
gr3958133253,Bulgaria,,"$89,783","$335,069"
gr3958133253,Croatia,"May 13, 2010","$79,223","$222,752"
gr3958133253,Czech Republic,"May 13, 2010","$214,979","$589,579"
gr3958133253,Denmark,"May 13, 2010","$877,620","$2,003,348"
gr3958133253,East Africa,"May 14, 2010","$25,005","$95,945"
gr3958133253,Egypt,"May 12, 2010","$110,583","$379,598"
gr3958133253,Estonia,"May 14, 2010","$25,356","$111,263"
gr3958133253,Finland,"May 12, 2010","$125,510","$1,018,475"
gr3958133253,France,"May 12, 2010","$7,408,994","$18,209,877"
gr3958133253,Germany,"May 13, 2010","$5,933,732","$15,345,492"
gr3958133253,Ghana,"May 21, 2010","$9,963","$13,082"
gr3958133253,Greece,"May 13, 2010","$658,347","$1,502,775"
gr3958133253,Hungary,"May 13, 2010","$211,331","$467,713"
gr3958133253,Iceland,"May 14, 2010","$39,817","$157,766"
gr3958133253,Israel,"May 13, 2010","$281,360","$1,144,051"
gr3958133253,Italy,"May 12, 2010","$5,172,957","$14,676,791"
gr3958133253,Latvia,"May 14, 2010","$46,685","$185,675"
gr3958133253,Lebanon,"May 13, 2010","$97,670","$333,336"
gr3958133253,Lithuania,"May 14, 2010","$48,667","$201,061"
gr3958133253,Netherlands,"May 13, 2010","$1,249,836","$3,647,474"
gr3958133253,Nigeria,"May 21, 2010","$20,009","$40,286"
gr3958133253,Norway,"May 12, 2010","$754,284","$3,288,640"
gr3958133253,Poland,"May 14, 2010","$1,065,354","$2,928,660"
gr3958133253,Portugal,"May 13, 2010","$585,762","$1,886,136"
gr3958133253,Romania,"May 13, 2010",–,"$707,068"
gr3958133253,Serbia and Montenegro,"May 13, 2010","$37,467","$161,619"
gr3958133253,Slovakia,"May 13, 2010","$84,371","$189,364"
gr3958133253,Slovenia,"May 13, 2010","$124,003","$327,167"
gr3958133253,South Africa,"May 14, 2010","$250,263","$1,140,199"
gr3958133253,Spain,"May 13, 2010","$4,475,075","$13,683,489"
gr3958133253,Sweden,"May 12, 2010","$852,841","$3,994,494"
gr3958133253,Turkey,"May 14, 2010","$707,846","$3,067,392"
gr3958133253,Ukraine,"May 13, 2010","$677,024","$1,435,194"
gr3958133253,United Arab Emirates,"May 13, 2010","$909,555","$1,802,791"
gr3958133253,United Kingdom,"May 14, 2010","$8,361,200","$23,179,445"
gr3958133253,Domestic,"May 14, 2010","$36,063,385","$105,269,730"
gr1308578309,Australia,"Aug 20, 2009","$2,551,864","$12,328,181"
gr1308578309,Hong Kong,"Aug 20, 2009","$253,038","$772,626"
gr1308578309,Indonesia,"Oct 16, 2009","$175,734","$568,710"
gr1308578309,Japan,"Nov 21, 2009","$1,403,064","$6,604,511"
gr1308578309,Malaysia,"Oct 22, 2009","$117,200","$267,020"
gr1308578309,New Zealand,"Aug 20, 2009","$236,421","$1,238,584"
gr1308578309,Philippines,"Dec 9, 2009","$19,986","$42,129"
gr1308578309,Russia/CIS,"Aug 20, 2009","$2,551,622","$5,981,035"
gr1308578309,Singapore,"Sep 17, 2009","$236,447","$700,280"
gr1308578309,South Korea,"Oct 28, 2009","$807,841","$2,135,174"
gr1308578309,Taiwan,"Aug 22, 2009","$101,280","$418,586"
gr1308578309,Thailand,"Aug 20, 2009","$115,455","$311,150"
gr1308578309,Argentina,"Sep 3, 2009","$257,346","$1,216,394"
gr1308578309,Bolivia,"Dec 17, 2009","$5,066","$11,381"
gr1308578309,Brazil,"Oct 9, 2009","$930,042","$5,050,972"
gr1308578309,Chile,"Oct 8, 2009","$119,460","$900,805"
gr1308578309,Colombia,"Oct 30, 2009","$77,230","$424,169"
gr1308578309,Ecuador,"Jan 1, 2010","$41,673","$1,224"
gr1308578309,Mexico,"Oct 9, 2009","$943,820","$5,514,816"
gr1308578309,Peru,"Oct 8, 2009","$117,103","$465,891"
gr1308578309,Uruguay,"Nov 6, 2009","$20,117","$78,318"
gr1308578309,Venezuela,"Oct 9, 2009","$135,581","$855,911"
gr1308578309,Austria,"Aug 21, 2009","$872,062","$4,508,064"
gr1308578309,Bahrain,"Sep 24, 2009",–,"$33,972"
gr1308578309,Belgium,"Aug 19, 2009","$705,112","$5,339,232"
gr1308578309,Bulgaria,"Aug 28, 2009","$96,566","$314,544"
gr1308578309,Croatia,"Sep 3, 2009","$78,687","$440,480"
gr1308578309,Czech Republic,"Aug 27, 2009","$217,643","$1,117,796"
gr1308578309,Denmark,"Aug 28, 2009","$408,177","$2,599,606"
gr1308578309,East Africa,"Oct 9, 2009","$5,989","$38,598"
gr1308578309,Egypt,"Oct 14, 2009","$45,855","$145,799"
gr1308578309,Estonia,"Aug 21, 2009","$45,298","$289,951"
gr1308578309,Finland,"Sep 4, 2009","$388,047","$2,248,461"
gr1308578309,France,"Aug 19, 2009","$6,086,660","$24,978,026"
gr1308578309,Germany,"Aug 20, 2009","$4,231,736","$23,585,703"
gr1308578309,Ghana,"Oct 30, 2009","$2,452","$7,487"
gr1308578309,Greece,"Aug 20, 2009","$559,873","$2,171,294"
gr1308578309,Hungary,"Aug 20, 2009","$212,453","$1,320,254"
gr1308578309,Iceland,"Aug 26, 2009","$46,800","$226,081"
gr1308578309,Israel,"Sep 17, 2009","$259,075","$2,255,778"
gr1308578309,Italy,"Oct 2, 2009","$2,914,976","$13,380,924"
gr1308578309,Latvia,"Aug 21, 2009","$22,265","$185,532"
gr1308578309,Lebanon,"Sep 17, 2009","$43,785","$178,271"
gr1308578309,Lithuania,"Aug 28, 2009","$35,293","$189,884"
gr1308578309,Netherlands,"Aug 27, 2009","$1,138,925","$6,874,289"
gr1308578309,Nigeria,"Oct 30, 2009","$5,641","$21,185"
gr1308578309,Norway,"Aug 21, 2009","$651,746","$4,184,347"
gr1308578309,Poland,"Sep 11, 2009","$662,830","$3,272,227"
gr1308578309,Portugal,"Aug 27, 2009",–,"$2,308,565"
gr1308578309,Romania,"Sep 4, 2009",–,"$565,615"
gr1308578309,Serbia and Montenegro,"Aug 20, 2009","$22,931","$213,690"
gr1308578309,Slovakia,"Aug 27, 2009",–,"$273,116"
gr1308578309,Slovenia,"Aug 20, 2009","$49,432","$363,637"
gr1308578309,South Africa,,"$137,573","$757,109"
gr1308578309,Spain,"Sep 18, 2009","$4,114,089","$15,418,489"
gr1308578309,Sweden,"Aug 21, 2009","$715,864","$5,186,536"
gr1308578309,Turkey,"Aug 21, 2009","$568,822","$1,925,299"
gr1308578309,Ukraine,"Aug 20, 2009","$194,008","$571,061"
gr1308578309,United Arab Emirates,"Sep 24, 2009","$271,786","$584,925"
gr1308578309,United Kingdom,"Aug 21, 2009","$5,935,952","$16,439,434"
gr1308578309,Domestic,"Aug 21, 2009","$38,054,676","$120,540,719"
gr477123077,Domestic,"Nov 27, 1996","$33,504,025","$136,189,294"
gr2549699077,Australia,"Jun 9, 2016","$2,602,810","$8,096,663"
gr2549699077,Hong Kong,,–,"$1,700,000"
gr2549699077,India,"Jun 10, 2016",–,"$9,400,000"
gr2549699077,Indonesia,,–,"$12,500,000"
gr2549699077,Japan,,–,"$647,000"
gr2549699077,Malaysia,,–,"$3,900,000"
gr2549699077,New Zealand,"Jun 9, 2016","$446,380","$1,550,647"
gr2549699077,Philippines,,–,"$4,200,000"
gr2549699077,Russia/CIS,"Jun 16, 2016","$1,769,267","$4,240,306"
gr2549699077,South Korea,"Jun 9, 2016","$3,418,067","$13,838,970"
gr2549699077,Taiwan,,–,"$4,800,000"
gr2549699077,Thailand,"Jun 9, 2016","$511,436","$1,499,058"
gr2549699077,Argentina,"Jun 9, 2016","$2,861,202","$3,894,800"
gr2549699077,Brazil,"Jun 9, 2016","$4,640,820","$17,121,025"
gr2549699077,Chile,,–,"$1,850,000"
gr2549699077,Colombia,,–,"$6,000,000"
gr2549699077,Mexico,"Jun 10, 2016","$7,458,608","$20,425,659"
gr2549699077,Uruguay,"Jun 9, 2016",–,"$571,957"
gr2549699077,Bulgaria,"Jun 17, 2016","$15,568","$70,964"
gr2549699077,Czech Republic,"Jun 9, 2016","$171,740","$650,461"
gr2549699077,Finland,"Jun 8, 2016","$107,444","$614,645"
gr2549699077,France,"Jun 29, 2016","$3,700,000","$11,312,824"
gr2549699077,Germany,"Jun 16, 2016","$2,120,000","$7,300,000"
gr2549699077,Iceland,"Jun 8, 2016","$41,480","$168,583"
gr2549699077,Italy,"Jun 23, 2016","$1,035,090","$2,800,000"
gr2549699077,Lithuania,"Jun 10, 2016","$58,584","$205,541"
gr2549699077,Netherlands,"Jun 9, 2016","$431,547","$1,988,298"
gr2549699077,Norway,"Jun 10, 2016","$488,800","$2,081,616"
gr2549699077,Poland,"Jun 17, 2016","$560,124","$2,648,144"
gr2549699077,Portugal,"Jun 9, 2016","$193,534","$717,648"
gr2549699077,Romania,"Jul 1, 2016","$121,504","$365,740"
gr2549699077,Slovakia,"Jun 9, 2016","$125,837","$388,891"
gr2549699077,Slovenia,"Jun 10, 2016","$16,163","$71,219"
gr2549699077,South Africa,"Jun 10, 2016","$82,669","$557,369"
gr2549699077,Spain,"Jun 17, 2016","$1,745,245","$7,188,139"
gr2549699077,Switzerland,"Jun 16, 2016",–,"$833,000"
gr2549699077,Switzerland (German),"Jun 16, 2016","$131,289","$131,698"
gr2549699077,Turkey,"Jun 10, 2016","$143,683","$711,000"
gr2549699077,Ukraine,"Jun 16, 2016","$74,502","$183,114"
gr2549699077,United Arab Emirates,"Jul 21, 2016","$800,893","$1,816,630"
gr2549699077,United Kingdom,"Jun 17, 2016","$6,867,244","$15,500,000"
gr2549699077,Domestic,"Jun 10, 2016","$40,406,314","$102,470,008"
gr285626885,Australia,"Dec 31, 1987",–,"$8,680,604"
gr285626885,Hong Kong,"May 12, 1988",–,"$1,117,264"
gr285626885,Japan,"Feb 11, 1988",–,"$20,748,900"
gr285626885,Malaysia,"May 20, 1988",–,"$87,803"
gr285626885,New Zealand,"Jan 15, 1988",–,"$704,007"
gr285626885,Philippines,"Sep 14, 1989",–,"$75,086"
gr285626885,Singapore,"May 20, 1988",–,"$594,083"
gr285626885,South Korea,"Sep 24, 1988",–,"$297,493"
gr285626885,Taiwan,"Mar 26, 1988",–,"$983,774"
gr285626885,Thailand,"Feb 17, 1988",–,"$128,998"
gr285626885,Argentina,"Jan 1, 1988",–,"$1,269,307"
gr285626885,Brazil,"Dec 25, 1987",–,"$1,449,561"
gr285626885,Central America,"Jan 20, 1988",–,"$135,644"
gr285626885,Chile,"Jan 29, 1988",–,"$496,306"
gr285626885,Colombia,"Jan 21, 1988",–,"$691,062"
gr285626885,Dominican Republic,"Jan 14, 1988",–,"$64,775"
gr285626885,Ecuador,"Feb 17, 1988",–,"$146,511"
gr285626885,Lesser Antilles,"Feb 17, 1988",–,"$108,888"
gr285626885,Mexico,"Mar 31, 1988",–,"$851,468"
gr285626885,Peru,"Mar 31, 1988",–,"$173,290"
gr285626885,Uruguay,"Mar 10, 1988",–,"$128,916"
gr285626885,Venezuela,"Feb 3, 1988",–,"$616,112"
gr285626885,Austria,"Feb 5, 1988",–,"$2,209,555"
gr285626885,Belgium,"Jan 22, 1988",–,"$3,305,366"
gr285626885,Denmark,"Feb 19, 1988",–,"$1,356,705"
gr285626885,Finland,"Jan 29, 1988",–,"$1,336,579"
gr285626885,France,"Jan 27, 1988",–,"$13,869,306"
gr285626885,Germany,"Feb 4, 1988",–,"$20,581,287"
gr285626885,Greece,"Jan 28, 1988",–,"$1,076,471"
gr285626885,Hungary,"Sep 7, 1989",–,"$11,698"
gr285626885,Israel,"Jan 29, 1988",–,"$1,453,031"
gr285626885,Italy,"Jan 29, 1988",–,"$12,486,624"
gr285626885,Kenya,"Apr 27, 1988",–,"$756,057"
gr285626885,Netherlands,"Jan 14, 1988",–,"$5,899,717"
gr285626885,Norway,"Feb 25, 1988",–,"$1,943,784"
gr285626885,Portugal,"Jan 29, 1988",–,"$242,615"
gr285626885,South Africa,"Jan 29, 1988",–,"$2,071,276"
gr285626885,Spain,"Jan 29, 1988",–,"$4,599,199"
gr285626885,Sweden,"Jan 29, 1988",–,"$4,617,759"
gr285626885,Switzerland,"Feb 5, 1988",–,"$4,426,440"
gr285626885,Turkey,"Aug 14, 1989",–,"$89,313"
gr285626885,United Kingdom,"Jan 15, 1988",–,"$16,914,376"
gr285626885,Domestic,"Sep 18, 1987","$7,602,740","$156,645,693"
gr702435845,China,"Aug 23, 2010",–,"$4,527,705"
gr702435845,Australia,"Sep 16, 2010","$2,569,072","$9,601,631"
gr702435845,Hong Kong,"Aug 12, 2010","$356,451","$650,455"
gr702435845,Indonesia,"Aug 4, 2010","$1,021,291","$3,185,064"
gr702435845,Japan,"Jul 17, 2010","$1,466,424","$6,018,615"
gr702435845,Malaysia,"Aug 5, 2010","$1,265,078","$2,542,932"
gr702435845,New Zealand,"Sep 23, 2010","$393,362","$1,609,827"
gr702435845,Philippines,"Jul 21, 2010","$1,229,252","$2,648,559"
gr702435845,Russia/CIS,"Jul 8, 2010","$7,686,980","$18,300,513"
gr702435845,Singapore,"Aug 5, 2010","$1,023,466","$2,015,668"
gr702435845,South Korea,"Aug 19, 2010","$5,498,339","$11,836,191"
gr702435845,Taiwan,"Jul 8, 2010","$145,129","$428,793"
gr702435845,Thailand,"Jul 29, 2010","$790,471","$1,373,034"
gr702435845,Argentina,"Aug 12, 2010","$915,665","$2,760,838"
gr702435845,Bolivia,"Aug 26, 2010","$66,181","$237,461"
gr702435845,Brazil,"Aug 20, 2010","$2,493,506","$9,653,005"
gr702435845,Chile,"Aug 19, 2010","$448,256","$1,768,877"
gr702435845,Colombia,"Aug 27, 2010","$965,004","$3,408,130"
gr702435845,Ecuador,"Aug 27, 2010",–,"$495,426"
gr702435845,Mexico,"Aug 27, 2010","$4,248,230","$14,069,069"
gr702435845,Peru,"Aug 26, 2010","$688,250","$2,120,847"
gr702435845,Uruguay,"Oct 1, 2010","$25,875","$93,747"
gr702435845,Venezuela,"Aug 27, 2010","$420,004","$2,262,106"
gr702435845,Austria,"Aug 20, 2010","$535,709","$2,191,663"
gr702435845,Belgium,"Jul 28, 2010","$1,024,926","$3,253,724"
gr702435845,Bulgaria,"Aug 27, 2010","$123,805","$469,659"
gr702435845,Croatia,"Aug 19, 2010","$31,158","$126,758"
gr702435845,Czech Republic,"Aug 19, 2010","$141,755","$625,220"
gr702435845,Denmark,"Aug 19, 2010","$289,388","$789,779"
gr702435845,East Africa,"Sep 10, 2010","$32,061","$84,719"
gr702435845,Egypt,"Jul 21, 2010","$57,196","$192,167"
gr702435845,Estonia,"Aug 13, 2010","$44,169","$145,903"
gr702435845,Finland,"Sep 10, 2010","$118,867","$355,025"
gr702435845,France,"Jul 28, 2010","$4,807,309","$11,546,248"
gr702435845,Germany,"Aug 19, 2010","$4,670,659","$15,572,208"
gr702435845,Ghana,"Sep 17, 2010","$3,575","$8,003"
gr702435845,Greece,"Oct 28, 2010","$288,119","$563,771"
gr702435845,Hungary,"Jul 29, 2010","$299,085","$861,772"
gr702435845,Iceland,"Aug 13, 2010","$19,389","$59,077"
gr702435845,Israel,"Jul 22, 2010","$231,029","$813,126"
gr702435845,Italy,"Sep 24, 2010","$2,954,554","$7,821,944"
gr702435845,Latvia,"Aug 13, 2010","$24,497","$175,776"
gr702435845,Lebanon,"Aug 5, 2010","$66,974","$217,530"
gr702435845,Lithuania,"Aug 20, 2010","$31,804","$156,754"
gr702435845,Netherlands,"Aug 19, 2010","$1,048,898","$3,761,185"
gr702435845,Nigeria,"Sep 17, 2010","$4,673","$52,167"
gr702435845,Norway,"Sep 17, 2010","$264,826","$641,264"
gr702435845,Poland,"Sep 3, 2010","$430,373","$1,522,441"
gr702435845,Portugal,"Aug 12, 2010","$548,775","$1,718,359"
gr702435845,Romania,"Aug 6, 2010",–,"$536,068"
gr702435845,Serbia and Montenegro,"Aug 19, 2010","$9,467","$51,923"
gr702435845,Slovakia,"Aug 26, 2010","$76,627","$188,675"
gr702435845,Slovenia,"Aug 5, 2010","$25,047","$179,326"
gr702435845,South Africa,"Sep 10, 2010","$381,775","$1,328,262"
gr702435845,Spain,"Aug 6, 2010","$3,117,010","$9,840,134"
gr702435845,Sweden,"Oct 15, 2010","$548,301","$1,432,303"
gr702435845,Turkey,"Jul 23, 2010","$1,042,148","$3,168,703"
gr702435845,Ukraine,"Jul 8, 2010","$763,200","$1,752,582"
gr702435845,United Arab Emirates,"Jul 29, 2010","$692,269","$1,419,186"
gr702435845,United Kingdom,"Aug 13, 2010","$2,579,229","$6,564,441"
gr702435845,Domestic,"Jul 1, 2010","$40,325,019","$131,772,187"
gr521949701,Australia,"Jul 18, 2013","$1,638,785","$8,167,711"
gr521949701,Hong Kong,"Aug 29, 2013","$338,103","$993,194"
gr521949701,India,"Aug 2, 2013","$561,458","$3,794,888"
gr521949701,Malaysia,"Aug 1, 2013","$475,661","$3,736,613"
gr521949701,New Zealand,"Jul 18, 2013","$210,244","$1,219,270"
gr521949701,Philippines,"Aug 21, 2013","$758,460","$1,348,452"
gr521949701,Russia/CIS,"Jul 25, 2013","$3,195,591","$10,044,616"
gr521949701,Singapore,"Aug 8, 2013","$717,166","$2,164,452"
gr521949701,South Korea,"Sep 17, 2013","$3,462,884","$15,213,635"
gr521949701,Thailand,"Aug 22, 2013","$152,372","$602,480"
gr521949701,Argentina,"Aug 8, 2013","$1,142,647","$1,039,470"
gr521949701,Bolivia,"Aug 22, 2013","$43,485","$368,327"
gr521949701,Brazil,"Sep 13, 2013","$1,705,616","$7,819,451"
gr521949701,Chile,"Aug 22, 2013","$390,305","$4,503,022"
gr521949701,Colombia,"Aug 23, 2013","$547,011","$3,832,226"
gr521949701,Ecuador,"Sep 6, 2013",–,"$1,152,572"
gr521949701,Mexico,"Aug 23, 2013","$4,322,676","$18,948,011"
gr521949701,Peru,"Aug 15, 2013","$520,818","$2,304,727"
gr521949701,Uruguay,"Aug 15, 2013","$48,562","$236,769"
gr521949701,Venezuela,"Sep 27, 2013","$342,831","$3,618,768"
gr521949701,Austria,"Aug 2, 2013","$172,279","$1,048,011"
gr521949701,Belgium,"Aug 21, 2013","$785,467","$3,020,858"
gr521949701,Bulgaria,"Sep 20, 2013","$17,330","$85,296"
gr521949701,Croatia,"Sep 5, 2013","$21,051","$96,935"
gr521949701,Czech Republic,"Jul 25, 2013","$69,705","$573,751"
gr521949701,Denmark,"Sep 12, 2013","$184,413","$626,034"
gr521949701,East Africa,"Sep 13, 2013","$3,370","$6,044"
gr521949701,Egypt,"Sep 18, 2013","$27,947","$446,047"
gr521949701,Finland,"Aug 22, 2013","$82,404","$452,463"
gr521949701,France,"Aug 21, 2013","$2,476,614","$9,877,497"
gr521949701,Germany,"Aug 1, 2013","$921,956","$4,620,218"
gr521949701,Greece,"Sep 26, 2013","$291,753","$1,258,341"
gr521949701,Hungary,"Sep 19, 2013","$75,418","$304,912"
gr521949701,Iceland,"Aug 28, 2013","$39,398","$148,656"
gr521949701,Israel,"Aug 29, 2013",–,"$442,234"
gr521949701,Italy,"Aug 21, 2013","$1,371,759","$4,714,172"
gr521949701,Lebanon,"Sep 5, 2013","$38,795","$131,643"
gr521949701,Netherlands,"Sep 5, 2013","$331,419","$1,383,781"
gr521949701,Nigeria,"Sep 13, 2013",–,"$20,851"
gr521949701,Norway,"Aug 16, 2013","$200,307","$1,492,917"
gr521949701,Poland,"Jul 26, 2013","$205,780","$1,777,532"
gr521949701,Portugal,"Sep 19, 2013","$112,129","$429,876"
gr521949701,Serbia and Montenegro,"Sep 26, 2013","$9,107","$55,591"
gr521949701,Slovakia,"Aug 29, 2013","$46,487","$179,443"
gr521949701,Slovenia,"Sep 26, 2013","$7,301","$24,649"
gr521949701,South Africa,"Sep 20, 2013","$78,778","$448,703"
gr521949701,Spain,"Jul 19, 2013","$1,671,855","$7,966,735"
gr521949701,Sweden,"Sep 6, 2013","$194,654","$925,497"
gr521949701,Turkey,"Aug 30, 2013","$144,095","$893,912"
gr521949701,Ukraine,"Aug 8, 2013","$163,931","$532,571"
gr521949701,United Arab Emirates,"Aug 22, 2013","$410,220","$1,097,786"
gr521949701,United Kingdom,"Aug 2, 2013","$3,297,576","$16,201,474"
gr521949701,Domestic,"Jul 19, 2013","$41,855,326","$137,400,141"
gr1801933317,Australia,"Jun 18, 2009","$2,818,700","$13,971,668"
gr1801933317,Hong Kong,"Sep 10, 2009","$578,733","$1,617,635"
gr1801933317,Indonesia,"Aug 19, 2009","$198,248","$890,745"
gr1801933317,Japan,"Oct 16, 2009","$690,235","$2,914,626"
gr1801933317,Malaysia,"Jul 30, 2009","$231,216","$700,306"
gr1801933317,New Zealand,"Jun 18, 2009","$279,606","$1,709,483"
gr1801933317,Philippines,"Jul 29, 2009","$444,756","$1,058,046"
gr1801933317,Russia/CIS,"Jun 18, 2009","$2,633,377","$7,583,672"
gr1801933317,Singapore,"Aug 20, 2009","$444,549","$1,393,207"
gr1801933317,South Korea,"Sep 3, 2009","$797,384","$2,045,349"
gr1801933317,Taiwan,"Sep 5, 2009","$309,706","$1,400,215"
gr1801933317,Thailand,"Sep 17, 2009","$244,511","$770,641"
gr1801933317,Argentina,"Jul 2, 2009","$127,053","$885,702"
gr1801933317,Bolivia,"Jul 16, 2009","$5,606","$35,307"
gr1801933317,Brazil,"Jul 10, 2009","$1,096,310","$7,438,656"
gr1801933317,Central America,"Jul 10, 2009","$33,026","$144,995"
gr1801933317,Chile,"Aug 6, 2009","$79,783","$293,813"
gr1801933317,Colombia,"Jul 10, 2009","$143,119","$839,986"
gr1801933317,Ecuador,"Jul 10, 2009","$77,831","$311,335"
gr1801933317,Mexico,"Jun 19, 2009","$1,410,570","$6,665,637"
gr1801933317,Peru,"Jul 23, 2009","$150,021","$633,125"
gr1801933317,Uruguay,"Jul 24, 2009","$24,293","$156,223"
